Rank,Title,Rating,Image_URL,Episodes,Dates
1,Shingeki no Kyojin,8.54,https://cdn.myanimelist.net/r/50x70/images/anime/10/47347.jpg?s=29949c6e892df123f0b0563e836d3d98,TV (25 eps),Apr 2013 - Sep 2013
2,Death Note,8.62,https://cdn.myanimelist.net/r/50x70/images/anime/1079/138100.jpg?s=3e4bd9dab3fbb90bff74e3240e281d23,TV (37 eps),Oct 2006 - Jun 2007
3,Fullmetal Alchemist: Brotherhood,9.09,https://cdn.myanimelist.net/r/50x70/images/anime/1208/94745.jpg?s=7892d01b6c74f1bf945f7a3ff3bb1f6a,TV (64 eps),Apr 2009 - Jul 2010
4,One Punch Man,8.50,https://cdn.myanimelist.net/r/50x70/images/anime/12/76049.jpg?s=40b6c7dbbbb94c44675116d301150078,TV (12 eps),Oct 2015 - Dec 2015
5,Sword Art Online,7.20,https://cdn.myanimelist.net/r/50x70/images/anime/11/39717.jpg?s=5908e8051487fb8468d5fca779f8f00d,TV (25 eps),Jul 2012 - Dec 2012
6,Boku no Hero Academia,7.87,https://cdn.myanimelist.net/r/50x70/images/anime/10/78745.jpg?s=8ea4cb2e8a861e63757d3c05aa5d32c2,TV (13 eps),Apr 2016 - Jun 2016
7,Kimetsu no Yaiba,8.47,https://cdn.myanimelist.net/r/50x70/images/anime/1286/99889.jpg?s=e497d08bef31ae412e314b90a54acfda,TV (26 eps),Apr 2019 - Sep 2019
8,Naruto,7.99,https://cdn.myanimelist.net/r/50x70/images/anime/13/17405.jpg?s=59241469eb470604a792add6fbe7cce6,TV (220 eps),Oct 2002 - Feb 2007
9,Hunter x Hunter (2011),9.04,https://cdn.myanimelist.net/r/50x70/images/anime/1337/99013.jpg?s=1838e905a0aa3542a009fbcf78000701,TV (148 eps),Oct 2011 - Sep 2014
10,Tokyo Ghoul,7.79,https://cdn.myanimelist.net/r/50x70/images/anime/1498/134443.jpg?s=b6b415f545ed3a21b995f78dc73acde2,TV (12 eps),Jul 2014 - Sep 2014
11,Kimi no Na wa.,8.84,https://cdn.myanimelist.net/r/50x70/images/anime/5/87048.jpg?s=2bca128fcb9dfd6d0908f3d9986576c6,Movie (1 eps),Aug 2016 - Aug 2016
12,Shingeki no Kyojin Season 2,8.51,https://cdn.myanimelist.net/r/50x70/images/anime/4/84177.jpg?s=74f2f396ab23eee08691546aaa2c6fad,TV (12 eps),Apr 2017 - Jun 2017
13,Steins;Gate,9.07,https://cdn.myanimelist.net/r/50x70/images/anime/1935/127974.jpg?s=cd8506e6d26bad48a78aa985477a55ca,TV (24 eps),Apr 2011 - Sep 2011
14,Boku no Hero Academia 2nd Season,8.09,https://cdn.myanimelist.net/r/50x70/images/anime/12/85221.jpg?s=bc4bd0a738a03bfe9176c5d83dc6f65e,TV (25 eps),Apr 2017 - Sep 2017
15,Jujutsu Kaisen,8.61,https://cdn.myanimelist.net/r/50x70/images/anime/1171/109222.jpg?s=f5508bab9e7d610a28f12d1828a6ee79,TV (24 eps),Oct 2020 - Mar 2021
16,Naruto: Shippuuden,8.27,https://cdn.myanimelist.net/r/50x70/images/anime/1565/111305.jpg?s=a92272fe7a37f1c114011b406d5390c8,TV (500 eps),Feb 2007 - Mar 2017
17,No Game No Life,8.07,https://cdn.myanimelist.net/r/50x70/images/anime/1074/111944.jpg?s=3d63ffec8cd2a7f1e00e8dc15ef534f5,TV (12 eps),Apr 2014 - Jun 2014
18,Shingeki no Kyojin Season 3,8.62,https://cdn.myanimelist.net/r/50x70/images/anime/1173/92110.jpg?s=410d006fea0608544e9861a6f261c692,TV (12 eps),Jul 2018 - Oct 2018
19,One Piece,8.72,https://cdn.myanimelist.net/r/50x70/images/anime/1244/138851.jpg?s=3a515a0e3bc695b2ea62db2fa26c53b3,TV (? eps),Oct 1999 -
20,Koe no Katachi,8.93,https://cdn.myanimelist.net/r/50x70/images/anime/1122/96435.jpg?s=56d2750d600af93a5d326daec7748cae,Movie (1 eps),Sep 2016 - Sep 2016
21,Shingeki no Kyojin Season 3 Part 2,9.05,https://cdn.myanimelist.net/r/50x70/images/anime/1517/100633.jpg?s=4540a01b5883647ade494cd28392f100,TV (10 eps),Apr 2019 - Jul 2019
22,Code Geass: Hangyaku no Lelouch,8.70,https://cdn.myanimelist.net/r/50x70/images/anime/1032/135088.jpg?s=b67496ea440a61c0d7ac14173e0bd6e0,TV (25 eps),Oct 2006 - Jul 2007
